id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
0,0.00024,0.000175,0.00014,0.00016,False,0,2e-05,4
1,0.00024,0.00018,0.00013,0.00017,False,0,4e-05,8
2,0.00024,0.000185,0.000125,0.000175,False,0,5e-05,10
3,0.00024,0.00019,0.00012,0.00018,False,0,6e-05,12
4,0.00024,0.000195,0.000115,0.000185,False,0,7e-05,14
5,0.00024,0.0002,0.000115,0.00019,False,0,7.5e-05,15
6,0.00024,0.000205,0.00011,0.00019,False,0,8e-05,16
7,0.00024,0.00021,0.000105,0.000195,False,0,9e-05,18
8,0.00024,0.000215,0.000105,0.000195,False,0,9e-05,18
9,0.00024,0.00022,0.0001,0.000195,False,0,9.5e-05,19
10,0.00024,0.000225,0.0001,0.0002,False,0,0.0001,20
11,0.00024,0.00023,0.0001,0.0002,False,0,0.0001,20
12,0.00024,0.000235,0.0001,0.0002,False,0,0.0001,20
13,0.00024,0.00024,0.0001,0.0002,False,0,0.0001,20
14,0.00024,0.000245,0.0001,0.0002,False,0,0.0001,20
15,0.00024,0.00025,0.0001,0.000205,False,0,0.000105,21
16,0.00024,0.000255,0.0001,0.000205,False,0,0.000105,21
17,0.00024,0.00026,0.000115,0.000205,False,0,9e-05,18
18,0.00024,0.000265,0.000135,0.0002,True,7,6.5e-05,6
19,0.000245,0.000175,0.00014,0.000165,False,0,2.5e-05,5
20,0.000245,0.00018,0.00013,0.00017,False,0,4e-05,8
21,0.000245,0.000185,0.000125,0.000175,False,0,5e-05,10
22,0.000245,0.00019,0.00012,0.00018,False,0,6e-05,12
23,0.000245,0.000195,0.000115,0.000185,False,0,7e-05,14
24,0.000245,0.0002,0.00011,0.000185,False,0,7.5e-05,15
25,0.000245,0.000205,0.00011,0.00019,False,0,8e-05,16
26,0.000245,0.00021,0.000105,0.000195,False,0,9e-05,18
27,0.000245,0.000215,0.0001,0.000195,False,0,9.5e-05,19
28,0.000245,0.00022,0.0001,0.0002,False,0,0.0001,20
29,0.000245,0.000225,0.0001,0.0002,False,0,0.0001,20
30,0.000245,0.00023,0.0001,0.0002,False,0,0.0001,20
31,0.000245,0.000235,0.0001,0.0002,False,0,0.0001,20
32,0.000245,0.00024,0.0001,0.0002,False,0,0.0001,20
33,0.000245,0.000245,0.0001,0.0002,False,0,0.0001,20
34,0.000245,0.00025,0.0001,0.0002,False,0,0.0001,20
35,0.000245,0.000255,0.0001,0.0002,False,0,0.0001,20
36,0.000245,0.00026,0.000115,0.0002,False,0,8.5e-05,17
37,0.000245,0.000265,0.000135,0.0002,True,3,6.5e-05,10
38,0.00025,0.000175,0.000135,0.000165,False,0,3e-05,6
39,0.00025,0.00018,0.000125,0.00017,False,0,4.5e-05,9
40,0.00025,0.000185,0.00012,0.000175,False,0,5.5e-05,11
41,0.00025,0.00019,0.00012,0.00018,False,0,6e-05,12
42,0.00025,0.000195,0.000115,0.000185,False,0,7e-05,14
43,0.00025,0.0002,0.00011,0.000185,False,0,7.5e-05,15
44,0.00025,0.000205,0.000105,0.00019,False,0,8.5e-05,17
45,0.00025,0.00021,0.000105,0.00019,False,0,8.5e-05,17
46,0.00025,0.000215,0.0001,0.000195,False,0,9.5e-05,19
47,0.00025,0.00022,0.0001,0.0002,False,0,0.0001,20
48,0.00025,0.000225,0.0001,0.0002,False,0,0.0001,20
49,0.00025,0.00023,9.5e-05,0.0002,False,0,0.000105,21
50,0.00025,0.000235,9.5e-05,0.0002,False,0,0.000105,21
51,0.00025,0.00024,9.5e-05,0.0002,False,0,0.000105,21
52,0.00025,0.000245,9.5e-05,0.0002,False,0,0.000105,21
53,0.00025,0.00025,9.5e-05,0.000205,False,0,0.00011,22
54,0.00025,0.000255,9.5e-05,0.000205,False,0,0.00011,22
55,0.00025,0.00026,0.000115,0.0002,False,0,8.5e-05,17
56,0.00025,0.000265,0.000135,0.0002,True,4,6.5e-05,9
57,0.000255,0.000175,0.000135,0.000165,False,0,3e-05,6
58,0.000255,0.00018,0.000125,0.000175,False,0,5e-05,10
59,0.000255,0.000185,0.00012,0.000175,False,0,5.5e-05,11
60,0.000255,0.00019,0.000115,0.00018,False,0,6.5e-05,13
61,0.000255,0.000195,0.000115,0.00018,False,0,6.5e-05,13
62,0.000255,0.0002,0.00011,0.000185,False,0,7.5e-05,15
63,0.000255,0.000205,0.000105,0.00019,False,0,8.5e-05,17
64,0.000255,0.00021,0.000105,0.00019,False,0,8.5e-05,17
65,0.000255,0.000215,0.0001,0.000195,False,0,9.5e-05,19
66,0.000255,0.00022,0.0001,0.0002,False,0,0.0001,20
67,0.000255,0.000225,9.5e-05,0.0002,False,0,0.000105,21
68,0.000255,0.00023,9.5e-05,0.0002,False,0,0.000105,21
69,0.000255,0.000235,9.5e-05,0.0002,False,0,0.000105,21
70,0.000255,0.00024,9.5e-05,0.0002,False,0,0.000105,21
71,0.000255,0.000245,9.5e-05,0.0002,False,0,0.000105,21
72,0.000255,0.00025,9.5e-05,0.000205,False,0,0.00011,22
73,0.000255,0.000255,9.5e-05,0.000205,False,0,0.00011,22
74,0.000255,0.00026,0.000115,0.000205,False,0,9e-05,18
75,0.000255,0.000265,0.000165,0.0002,True,3,3.5e-05,4
76,0.00026,0.000175,0.00013,0.000165,False,0,3.5e-05,7
77,0.00026,0.00018,0.000125,0.000175,False,0,5e-05,10
78,0.00026,0.000185,0.00012,0.000175,False,0,5.5e-05,11
79,0.00026,0.00019,0.000115,0.00018,False,0,6.5e-05,13
80,0.00026,0.000195,0.000115,0.00018,False,0,6.5e-05,13
81,0.00026,0.0002,0.00011,0.000185,False,0,7.5e-05,15
82,0.00026,0.000205,0.000105,0.00019,False,0,8.5e-05,17
83,0.00026,0.00021,0.000105,0.00019,False,0,8.5e-05,17
84,0.00026,0.000215,0.0001,0.000195,False,0,9.5e-05,19
85,0.00026,0.00022,9.5e-05,0.000195,False,0,0.0001,20
86,0.00026,0.000225,9.5e-05,0.0002,False,0,0.000105,21
87,0.00026,0.00023,9.5e-05,0.0002,False,0,0.000105,21
88,0.00026,0.000235,9e-05,0.0002,False,0,0.00011,22
89,0.00026,0.00024,9e-05,0.0002,False,0,0.00011,22
90,0.00026,0.000245,9e-05,0.000205,False,0,0.000115,23
91,0.00026,0.00025,9e-05,0.000205,False,0,0.000115,23
92,0.00026,0.000255,9.5e-05,0.000205,False,0,0.00011,22
93,0.00026,0.00026,0.00013,0.000205,False,0,7.5e-05,15
94,0.00026,0.000265,0.00018,0.000205,False,0,2.5e-05,5
95,0.000265,0.000175,0.00013,0.000165,False,0,3.5e-05,7
96,0.000265,0.00018,0.000125,0.000175,False,0,5e-05,10
97,0.000265,0.000185,0.00012,0.000175,False,0,5.5e-05,11
98,0.000265,0.00019,0.000115,0.00018,False,0,6.5e-05,13
99,0.000265,0.000195,0.000115,0.00018,False,0,6.5e-05,13
100,0.000265,0.0002,0.00011,0.000185,False,0,7.5e-05,15
101,0.000265,0.000205,0.000105,0.00019,False,0,8.5e-05,17
102,0.000265,0.00021,0.000105,0.00019,False,0,8.5e-05,17
103,0.000265,0.000215,0.0001,0.000195,False,0,9.5e-05,19
104,0.000265,0.00022,9.5e-05,0.000195,False,0,0.0001,20
105,0.000265,0.000225,9.5e-05,0.0002,False,0,0.000105,21
106,0.000265,0.00023,9.5e-05,0.0002,False,0,0.000105,21
107,0.000265,0.000235,9e-05,0.0002,False,0,0.00011,22
108,0.000265,0.00024,9e-05,0.0002,False,0,0.00011,22
109,0.000265,0.000245,9e-05,0.000205,False,0,0.000115,23
110,0.000265,0.00025,9e-05,0.000205,False,0,0.000115,23
111,0.000265,0.000255,9e-05,0.00021,True,1,0.00012,23
112,0.000265,0.00026,0.00013,0.00021,False,0,8e-05,16
113,0.000265,0.000265,0.00018,0.000205,False,0,2.5e-05,5
114,0.00027,0.000175,0.00013,0.000165,False,0,3.5e-05,7
115,0.00027,0.00018,0.000125,0.000175,False,0,5e-05,10
116,0.00027,0.000185,0.00012,0.000175,False,0,5.5e-05,11
117,0.00027,0.00019,0.000115,0.00018,False,0,6.5e-05,13
118,0.00027,0.000195,0.000115,0.00018,False,0,6.5e-05,13
119,0.00027,0.0002,0.00011,0.000185,False,0,7.5e-05,15
120,0.00027,0.000205,0.000105,0.00019,False,0,8.5e-05,17
121,0.00027,0.00021,0.000105,0.00019,False,0,8.5e-05,17
122,0.00027,0.000215,0.0001,0.000195,False,0,9.5e-05,19
123,0.00027,0.00022,9.5e-05,0.000195,False,0,0.0001,20
124,0.00027,0.000225,9.5e-05,0.0002,False,0,0.000105,21
125,0.00027,0.00023,9.5e-05,0.0002,False,0,0.000105,21
126,0.00027,0.000235,9.5e-05,0.0002,False,0,0.000105,21
127,0.00027,0.00024,9e-05,0.0002,False,0,0.00011,22
128,0.00027,0.000245,9e-05,0.000205,False,0,0.000115,23
129,0.00027,0.00025,9e-05,0.00021,False,0,0.00012,24
130,0.00027,0.000255,9e-05,0.00021,True,1,0.00012,23
131,0.00027,0.00026,0.000135,0.00021,False,0,7.5e-05,15
132,0.00027,0.000265,0.00018,0.000205,False,0,2.5e-05,5
133,0.000275,0.00017,0.000145,0.000155,False,0,1e-05,2
134,0.000275,0.000175,0.00013,0.00017,False,0,4e-05,8
135,0.000275,0.00018,0.000125,0.000175,False,0,5e-05,10
136,0.000275,0.000185,0.00012,0.000175,False,0,5.5e-05,11
137,0.000275,0.00019,0.000115,0.00018,False,0,6.5e-05,13
138,0.000275,0.000195,0.00011,0.00018,False,0,7e-05,14
139,0.000275,0.0002,0.00011,0.000185,False,0,7.5e-05,15
140,0.000275,0.000205,0.000105,0.00019,False,0,8.5e-05,17
141,0.000275,0.00021,0.000105,0.00019,False,0,8.5e-05,17
142,0.000275,0.000215,0.0001,0.000195,False,0,9.5e-05,19
143,0.000275,0.00022,9.5e-05,0.000195,False,0,0.0001,20
144,0.000275,0.000225,9.5e-05,0.0002,False,0,0.000105,21
145,0.000275,0.00023,9.5e-05,0.0002,False,0,0.000105,21
146,0.000275,0.000235,9.5e-05,0.0002,False,0,0.000105,21
147,0.000275,0.00024,9e-05,0.000205,False,0,0.000115,23
148,0.000275,0.000245,9e-05,0.00021,False,0,0.00012,24
149,0.000275,0.00025,9e-05,0.00021,False,0,0.00012,24
150,0.000275,0.000255,0.0001,0.00021,True,3,0.00011,19
151,0.000275,0.00026,0.000135,0.00021,False,0,7.5e-05,15
152,0.000275,0.000265,0.000175,0.000205,False,0,3e-05,6
153,0.00028,0.00017,0.000145,0.000155,False,0,1e-05,2
