"Points:0","Points:1","Points:2"
0.00015,0.00016,0.000195
0.00015,0.000165,0.000195
0.00015,0.00017,0.000195
0.00015,0.000175,0.000195
0.00015,0.00018,0.000195
0.00015,0.000185,0.000195
0.00015,0.00019,0.000195
0.00015,0.000195,0.000195
0.00015,0.0002,0.000195
0.00015,0.000205,0.000195
0.00015,0.00021,0.000195
0.00015,0.000215,0.000195
0.00015,0.00022,0.000195
0.00015,0.000145,0.0002
0.00015,0.00015,0.0002
0.00015,0.000155,0.0002
0.00015,0.00016,0.0002
0.00015,0.000165,0.0002
0.00015,0.00017,0.0002
0.00015,0.000175,0.0002
0.00015,0.00018,0.0002
0.00015,0.000185,0.0002
0.00015,0.00019,0.0002
0.00015,0.000195,0.0002
0.00015,0.0002,0.0002
0.00015,0.000205,0.0002
0.00015,0.00021,0.0002
0.00015,0.000215,0.0002
0.00015,0.00022,0.0002
0.00015,5.5e-05,0.000205
0.00015,6e-05,0.000205
0.00015,6.5e-05,0.000205
0.00015,7e-05,0.000205
0.00015,7.5e-05,0.000205
0.00015,8e-05,0.000205
0.00015,8.5e-05,0.000205
0.00015,9e-05,0.000205
0.00015,9.5e-05,0.000205
0.00015,0.0001,0.000205
0.00015,0.000105,0.000205
0.00015,0.00011,0.000205
0.00015,0.000115,0.000205
0.00015,0.00012,0.000205
0.00015,0.000125,0.000205
0.00015,0.00013,0.000205
0.00015,0.000135,0.000205
0.00015,0.00014,0.000205
0.00015,0.000145,0.000205
0.00015,0.00015,0.000205
0.00015,0.000155,0.000205
0.00015,0.00016,0.000205
0.00015,0.000165,0.000205
0.00015,0.00017,0.000205
0.00015,0.000175,0.000205
0.00015,0.00018,0.000205
0.00015,0.000185,0.000205
0.00015,0.00019,0.000205
0.00015,0.000195,0.000205
0.00015,0.0002,0.000205
0.00015,0.000205,0.000205
0.00015,0.00021,0.000205
0.00015,0.000215,0.000205
0.00015,0.00022,0.000205
0.00015,0.000225,0.000205
0.00015,4e-05,0.00021
0.00015,4.5e-05,0.00021
0.00015,5e-05,0.00021
0.00015,5.5e-05,0.00021
0.00015,6e-05,0.00021
