id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
0,0.000125,0.000195,0.00014,0.000145,False,0,5e-06,1
1,0.000125,0.0002,0.00014,0.000145,False,0,5e-06,1
2,0.000125,0.000205,0.000135,0.000165,False,0,3e-05,6
3,0.000125,0.00021,0.00013,0.000175,False,0,4.5e-05,9
4,0.000125,0.000215,0.000125,0.000175,False,0,5e-05,10
5,0.000125,0.00022,0.00012,0.000175,False,0,5.5e-05,11
6,0.000125,0.000225,0.00012,0.00018,False,0,6e-05,12
7,0.000125,0.00023,0.000115,0.00018,False,0,6.5e-05,13
8,0.000125,0.000235,0.000115,0.000185,False,0,7e-05,14
9,0.000125,0.00024,0.000115,0.000185,False,0,7e-05,14
10,0.000125,0.000245,0.000115,0.00019,False,0,7.5e-05,15
11,0.000125,0.00025,0.00011,0.00019,False,0,8e-05,16
12,0.000125,0.000255,0.000105,0.00019,False,0,8.5e-05,17
13,0.000125,0.00026,0.000105,0.00019,False,0,8.5e-05,17
14,0.000125,0.000265,0.00013,0.00016,False,0,3e-05,6
15,0.00013,0.000205,0.00013,0.000165,False,0,3.5e-05,7
16,0.00013,0.00021,0.00013,0.000175,False,0,4.5e-05,9
17,0.00013,0.000215,0.000125,0.000175,False,0,5e-05,10
18,0.00013,0.00022,0.00012,0.00018,False,0,6e-05,12
19,0.00013,0.000225,0.00012,0.00018,False,0,6e-05,12
20,0.00013,0.00023,0.000115,0.00018,False,0,6.5e-05,13
21,0.00013,0.000235,0.000115,0.000185,False,0,7e-05,14
22,0.00013,0.00024,0.000115,0.000185,False,0,7e-05,14
23,0.00013,0.000245,0.000115,0.00019,False,0,7.5e-05,15
24,0.00013,0.00025,0.00011,0.00019,False,0,8e-05,16
25,0.00013,0.000255,0.000105,0.00019,False,0,8.5e-05,17
26,0.00013,0.00026,0.000105,0.00019,False,0,8.5e-05,17
27,0.00013,0.000265,0.000135,0.00019,True,1,5.5e-05,10
28,0.000135,0.000205,0.00013,0.000165,False,0,3.5e-05,7
29,0.000135,0.00021,0.00013,0.00017,False,0,4e-05,8
30,0.000135,0.000215,0.000125,0.000175,False,0,5e-05,10
31,0.000135,0.00022,0.00012,0.00018,False,0,6e-05,12
32,0.000135,0.000225,0.00012,0.00018,False,0,6e-05,12
33,0.000135,0.00023,0.00012,0.00018,False,0,6e-05,12
34,0.000135,0.000235,0.000115,0.00018,False,0,6.5e-05,13
35,0.000135,0.00024,0.000115,0.000185,False,0,7e-05,14
36,0.000135,0.000245,0.000115,0.00019,False,0,7.5e-05,15
37,0.000135,0.00025,0.000115,0.00019,False,0,7.5e-05,15
38,0.000135,0.000255,0.00011,0.00019,False,0,8e-05,16
39,0.000135,0.00026,0.00011,0.00019,False,0,8e-05,16
40,0.000135,0.000265,0.000135,0.00019,False,0,5.5e-05,11
41,0.00014,0.000205,0.00013,0.000165,False,0,3.5e-05,7
42,0.00014,0.00021,0.00013,0.00017,False,0,4e-05,8
43,0.00014,0.000215,0.000125,0.000175,False,0,5e-05,10
44,0.00014,0.00022,0.00012,0.00018,False,0,6e-05,12
45,0.00014,0.000225,0.00012,0.00018,False,0,6e-05,12
46,0.00014,0.00023,0.00012,0.00018,False,0,6e-05,12
47,0.00014,0.000235,0.000115,0.000185,False,0,7e-05,14
48,0.00014,0.00024,0.000115,0.000185,False,0,7e-05,14
49,0.00014,0.000245,0.000115,0.00019,False,0,7.5e-05,15
50,0.00014,0.00025,0.000115,0.000195,False,0,8e-05,16
51,0.00014,0.000255,0.00011,0.000195,False,0,8.5e-05,17
52,0.00014,0.00026,0.00011,0.00019,False,0,8e-05,16
53,0.00014,0.000265,0.000135,0.000175,False,0,4e-05,8
54,0.000145,0.000195,0.00014,0.000145,False,0,5e-06,1
55,0.000145,0.0002,0.00014,0.00016,False,0,2e-05,4
56,0.000145,0.000205,0.000135,0.000165,False,0,3e-05,6
57,0.000145,0.00021,0.00013,0.00017,False,0,4e-05,8
58,0.000145,0.000215,0.000125,0.000175,False,0,5e-05,10
59,0.000145,0.00022,0.000125,0.00018,False,0,5.5e-05,11
60,0.000145,0.000225,0.00012,0.00018,False,0,6e-05,12
61,0.000145,0.00023,0.00012,0.000185,False,0,6.5e-05,13
62,0.000145,0.000235,0.000115,0.000185,False,0,7e-05,14
63,0.000145,0.00024,0.000115,0.000185,False,0,7e-05,14
64,0.000145,0.000245,0.000115,0.00019,False,0,7.5e-05,15
65,0.000145,0.00025,0.000115,0.000195,False,0,8e-05,16
66,0.000145,0.000255,0.00011,0.000195,False,0,8.5e-05,17
67,0.000145,0.00026,0.00011,0.00018,False,0,7e-05,14
68,0.000145,0.000265,0.00011,0.00017,True,3,6e-05,9
69,0.00015,0.000195,0.00014,0.000165,True,2,2.5e-05,3
70,0.00015,0.0002,0.00014,0.000165,False,0,2.5e-05,5
71,0.00015,0.000205,0.000135,0.000165,False,0,3e-05,6
72,0.00015,0.00021,0.00013,0.00017,False,0,4e-05,8
73,0.00015,0.000215,0.00013,0.000175,False,0,4.5e-05,9
74,0.00015,0.00022,0.000125,0.00018,False,0,5.5e-05,11
75,0.00015,0.000225,0.00012,0.00018,False,0,6e-05,12
76,0.00015,0.00023,0.00012,0.000185,False,0,6.5e-05,13
77,0.00015,0.000235,0.000115,0.000185,False,0,7e-05,14
78,0.00015,0.00024,0.000115,0.000185,False,0,7e-05,14
79,0.00015,0.000245,0.00011,0.00019,False,0,8e-05,16
80,0.00015,0.00025,0.00011,0.00019,False,0,8e-05,16
81,0.00015,0.000255,0.00011,0.00019,False,0,8e-05,16
82,0.00015,0.00026,0.00011,0.000175,False,0,6.5e-05,13
83,0.00015,0.000265,0.00011,0.000165,False,0,5.5e-05,11
84,0.00015,0.00027,0.000145,0.00015,False,0,5e-06,1
85,0.000155,0.000195,0.00015,0.000165,False,0,1.5e-05,3
86,0.000155,0.0002,0.000145,0.000165,False,0,2e-05,4
87,0.000155,0.000205,0.00013,0.00017,False,0,4e-05,8
88,0.000155,0.00021,0.00013,0.00017,False,0,4e-05,8
89,0.000155,0.000215,0.00013,0.000175,False,0,4.5e-05,9
90,0.000155,0.00022,0.000125,0.00018,False,0,5.5e-05,11
91,0.000155,0.000225,0.00012,0.00018,False,0,6e-05,12
92,0.000155,0.00023,0.000115,0.000185,False,0,7e-05,14
93,0.000155,0.000235,0.000115,0.000185,False,0,7e-05,14
94,0.000155,0.00024,0.000115,0.000185,False,0,7e-05,14
95,0.000155,0.000245,0.00011,0.000185,False,0,7.5e-05,15
96,0.000155,0.00025,0.00011,0.000185,False,0,7.5e-05,15
97,0.000155,0.000255,0.00011,0.00018,False,0,7e-05,14
98,0.000155,0.00026,0.000105,0.000165,False,0,6e-05,12
99,0.000155,0.000265,0.000105,0.00016,False,0,5.5e-05,11
100,0.000155,0.00027,0.000115,0.000155,True,1,4e-05,7
101,0.00016,0.000195,0.000145,0.000155,False,0,1e-05,2
102,0.00016,0.0002,0.000145,0.000155,False,0,1e-05,2
103,0.00016,0.000205,0.00013,0.00017,False,0,4e-05,8
104,0.00016,0.00021,0.00013,0.000175,False,0,4.5e-05,9
105,0.00016,0.000215,0.00013,0.000175,False,0,4.5e-05,9
106,0.00016,0.00022,0.000125,0.00018,False,0,5.5e-05,11
107,0.00016,0.000225,0.00012,0.000185,False,0,6.5e-05,13
108,0.00016,0.00023,0.000115,0.000185,False,0,7e-05,14
109,0.00016,0.000235,0.000115,0.000185,False,0,7e-05,14
110,0.00016,0.00024,0.000115,0.000185,False,0,7e-05,14
111,0.00016,0.000245,0.00011,0.000185,False,0,7.5e-05,15
112,0.00016,0.00025,0.00011,0.000185,False,0,7.5e-05,15
113,0.00016,0.000255,0.00011,0.00018,False,0,7e-05,14
114,0.00016,0.00026,0.000105,0.000165,False,0,6e-05,12
115,0.00016,0.000265,0.000105,0.00016,False,0,5.5e-05,11
116,0.00016,0.00027,0.000115,0.000155,False,0,4e-05,8
117,0.000165,0.000195,0.000145,0.000155,False,0,1e-05,2
118,0.000165,0.0002,0.00014,0.000165,False,0,2.5e-05,5
119,0.000165,0.000205,0.00013,0.00017,False,0,4e-05,8
120,0.000165,0.00021,0.00013,0.000175,False,0,4.5e-05,9
121,0.000165,0.000215,0.00013,0.00018,False,0,5e-05,10
122,0.000165,0.00022,0.000125,0.00018,False,0,5.5e-05,11
123,0.000165,0.000225,0.00012,0.000185,False,0,6.5e-05,13
124,0.000165,0.00023,0.000115,0.000185,False,0,7e-05,14
125,0.000165,0.000235,0.000115,0.000185,False,0,7e-05,14
126,0.000165,0.00024,0.000115,0.000185,False,0,7e-05,14
127,0.000165,0.000245,0.00011,0.000185,False,0,7.5e-05,15
128,0.000165,0.00025,0.00011,0.000185,False,0,7.5e-05,15
129,0.000165,0.000255,0.00011,0.000165,False,0,5.5e-05,11
130,0.000165,0.00026,0.00011,0.000165,False,0,5.5e-05,11
131,0.000165,0.000265,0.00011,0.000165,False,0,5.5e-05,11
132,0.000165,0.00027,0.000135,0.00016,False,0,2.5e-05,5
133,0.000165,0.000275,0.00014,0.00015,False,0,1e-05,2
134,0.00017,0.000195,0.000145,0.000155,False,0,1e-05,2
135,0.00017,0.0002,0.000135,0.000165,False,0,3e-05,6
136,0.00017,0.000205,0.00013,0.00017,False,0,4e-05,8
137,0.00017,0.00021,0.00013,0.000175,False,0,4.5e-05,9
