Points_0,Points_1,Points_2
0.0001,0.0005,7.5e-05
0.000105,0.0005,7.5e-05
0.0001,0.000505,7.5e-05
0.000105,0.000505,7.5e-05
0.0001,0.00051,7.5e-05
0.000105,0.00051,7.5e-05
9.5e-05,8e-05,8e-05
0.0001,8e-05,8e-05
0.000105,8e-05,8e-05
9.5e-05,8.5e-05,8e-05
0.0001,8.5e-05,8e-05
0.000105,8.5e-05,8e-05
0.00011,8.5e-05,8e-05
9.5e-05,9e-05,8e-05
0.0001,9e-05,8e-05
0.000105,9e-05,8e-05
0.00011,9e-05,8e-05
9.5e-05,9.5e-05,8e-05
0.0001,9.5e-05,8e-05
0.000105,9.5e-05,8e-05
0.00011,9.5e-05,8e-05
9.5e-05,0.0001,8e-05
0.0001,0.0001,8e-05
0.000105,0.0001,8e-05
0.00011,0.0001,8e-05
9.5e-05,0.000105,8e-05
0.0001,0.000105,8e-05
0.000105,0.000105,8e-05
0.00011,0.000105,8e-05
0.0001,0.00011,8e-05
0.000105,0.00011,8e-05
9.5e-05,0.000135,8e-05
0.0001,0.000135,8e-05
0.000105,0.000135,8e-05
9e-05,0.00014,8e-05
9.5e-05,0.00014,8e-05
0.0001,0.00014,8e-05
0.000105,0.00014,8e-05
0.00011,0.00014,8e-05
9e-05,0.000145,8e-05
9.5e-05,0.000145,8e-05
0.0001,0.000145,8e-05
0.000105,0.000145,8e-05
0.00011,0.000145,8e-05
8.5e-05,0.00015,8e-05
9e-05,0.00015,8e-05
9.5e-05,0.00015,8e-05
0.0001,0.00015,8e-05
0.000105,0.00015,8e-05
0.00011,0.00015,8e-05
8.5e-05,0.000155,8e-05
9e-05,0.000155,8e-05
9.5e-05,0.000155,8e-05
0.0001,0.000155,8e-05
0.000105,0.000155,8e-05
0.00011,0.000155,8e-05
8.5e-05,0.00016,8e-05
9e-05,0.00016,8e-05
9.5e-05,0.00016,8e-05
0.0001,0.00016,8e-05
0.000105,0.00016,8e-05
0.00011,0.00016,8e-05
8.5e-05,0.000165,8e-05
9e-05,0.000165,8e-05
9.5e-05,0.000165,8e-05
0.0001,0.000165,8e-05
0.000105,0.000165,8e-05
0.00011,0.000165,8e-05
8.5e-05,0.00017,8e-05
9e-05,0.00017,8e-05
9.5e-05,0.00017,8e-05
0.0001,0.00017,8e-05
0.000105,0.00017,8e-05
0.00011,0.00017,8e-05
8.5e-05,0.000175,8e-05
9e-05,0.000175,8e-05
9.5e-05,0.000175,8e-05
0.0001,0.000175,8e-05
0.000105,0.000175,8e-05
0.00011,0.000175,8e-05
9e-05,0.00018,8e-05
9.5e-05,0.00018,8e-05
0.0001,0.00018,8e-05
0.000105,0.00018,8e-05
0.00011,0.00018,8e-05
9e-05,0.000185,8e-05
9.5e-05,0.000185,8e-05
0.0001,0.000185,8e-05
0.000105,0.000185,8e-05
0.00011,0.000185,8e-05
9.5e-05,0.00019,8e-05
0.0001,0.00019,8e-05
0.000105,0.00019,8e-05
0.00011,0.00019,8e-05
9.5e-05,0.000195,8e-05
0.0001,0.000195,8e-05
0.000105,0.000195,8e-05
0.00011,0.000195,8e-05
9.5e-05,0.0002,8e-05
0.0001,0.0002,8e-05
0.000105,0.0002,8e-05
0.00011,0.0002,8e-05
9.5e-05,0.000205,8e-05
0.0001,0.000205,8e-05
0.000105,0.000205,8e-05
0.00011,0.000205,8e-05
9.5e-05,0.00021,8e-05
0.0001,0.00021,8e-05
0.000105,0.00021,8e-05
0.00011,0.00021,8e-05
9.5e-05,0.000215,8e-05
0.0001,0.000215,8e-05
0.000105,0.000215,8e-05
9.5e-05,0.00022,8e-05
0.0001,0.00022,8e-05
0.000105,0.00022,8e-05
9.5e-05,0.000225,8e-05
0.0001,0.000225,8e-05
0.000105,0.000225,8e-05
9.5e-05,0.00023,8e-05
0.0001,0.00023,8e-05
0.000105,0.00023,8e-05
9.5e-05,0.000235,8e-05
0.0001,0.000235,8e-05
0.000105,0.000235,8e-05
0.0001,0.00024,8e-05
0.000105,0.00024,8e-05
0.0001,0.000245,8e-05
0.000105,0.000245,8e-05
0.0001,0.000265,8e-05
0.000105,0.000265,8e-05
9.5e-05,0.00027,8e-05
0.0001,0.00027,8e-05
0.000105,0.00027,8e-05
9.5e-05,0.000275,8e-05
0.0001,0.000275,8e-05
0.000105,0.000275,8e-05
9.5e-05,0.00028,8e-05
0.0001,0.00028,8e-05
0.000105,0.00028,8e-05
9.5e-05,0.000285,8e-05
0.0001,0.000285,8e-05
0.000105,0.000285,8e-05
9.5e-05,0.00029,8e-05
0.0001,0.00029,8e-05
0.000105,0.00029,8e-05
0.0001,0.000295,8e-05
0.000105,0.000295,8e-05
9.5e-05,0.000335,8e-05
0.0001,0.000335,8e-05
0.000105,0.000335,8e-05
9.5e-05,0.00034,8e-05
0.0001,0.00034,8e-05
0.000105,0.00034,8e-05
9.5e-05,0.000345,8e-05
0.0001,0.000345,8e-05
0.000105,0.000345,8e-05
0.00011,0.000345,8e-05
9.5e-05,0.00035,8e-05
0.0001,0.00035,8e-05
0.000105,0.00035,8e-05
0.00011,0.00035,8e-05
9.5e-05,0.000355,8e-05
0.0001,0.000355,8e-05
0.000105,0.000355,8e-05
0.00011,0.000355,8e-05
9.5e-05,0.00036,8e-05
0.0001,0.00036,8e-05
0.000105,0.00036,8e-05
9.5e-05,0.00044,8e-05
0.0001,0.00044,8e-05
0.000105,0.00044,8e-05
9.5e-05,0.000445,8e-05
0.0001,0.000445,8e-05
0.000105,0.000445,8e-05
9.5e-05,0.00045,8e-05
0.0001,0.00045,8e-05
0.000105,0.00045,8e-05
0.00011,0.00045,8e-05
9.5e-05,0.000455,8e-05
0.0001,0.000455,8e-05
0.000105,0.000455,8e-05
0.00011,0.000455,8e-05
9e-05,0.00046,8e-05
9.5e-05,0.00046,8e-05
0.0001,0.00046,8e-05
0.000105,0.00046,8e-05
0.00011,0.00046,8e-05
9e-05,0.000465,8e-05
9.5e-05,0.000465,8e-05
0.0001,0.000465,8e-05
0.000105,0.000465,8e-05
0.00011,0.000465,8e-05
9e-05,0.00047,8e-05
9.5e-05,0.00047,8e-05
0.0001,0.00047,8e-05
0.000105,0.00047,8e-05
0.00011,0.00047,8e-05
9e-05,0.000475,8e-05
9.5e-05,0.000475,8e-05
0.0001,0.000475,8e-05
0.000105,0.000475,8e-05
0.00011,0.000475,8e-05
9e-05,0.00048,8e-05
9.5e-05,0.00048,8e-05
0.0001,0.00048,8e-05
0.000105,0.00048,8e-05
0.00011,0.00048,8e-05
0.000115,0.00048,8e-05
9e-05,0.000485,8e-05
9.5e-05,0.000485,8e-05
0.0001,0.000485,8e-05
0.000105,0.000485,8e-05
0.00011,0.000485,8e-05
0.000115,0.000485,8e-05
8.5e-05,0.00049,8e-05
9e-05,0.00049,8e-05
9.5e-05,0.00049,8e-05
0.0001,0.00049,8e-05
0.000105,0.00049,8e-05
0.00011,0.00049,8e-05
0.000115,0.00049,8e-05
8.5e-05,0.000495,8e-05
9e-05,0.000495,8e-05
9.5e-05,0.000495,8e-05
0.0001,0.000495,8e-05
0.000105,0.000495,8e-05
0.00011,0.000495,8e-05
0.000115,0.000495,8e-05
8.5e-05,0.0005,8e-05
9e-05,0.0005,8e-05
9.5e-05,0.0005,8e-05
0.0001,0.0005,8e-05
0.000105,0.0005,8e-05
0.00011,0.0005,8e-05
0.000115,0.0005,8e-05
9e-05,0.000505,8e-05
9.5e-05,0.000505,8e-05
0.0001,0.000505,8e-05
0.000105,0.000505,8e-05
0.00011,0.000505,8e-05
0.000115,0.000505,8e-05
9e-05,0.00051,8e-05
9.5e-05,0.00051,8e-05
0.0001,0.00051,8e-05
0.000105,0.00051,8e-05
0.00011,0.00051,8e-05
0.000115,0.00051,8e-05
9e-05,0.000515,8e-05
9.5e-05,0.000515,8e-05
0.0001,0.000515,8e-05
0.000105,0.000515,8e-05
0.00011,0.000515,8e-05
0.000115,0.000515,8e-05
9e-05,0.00052,8e-05
9.5e-05,0.00052,8e-05
0.0001,0.00052,8e-05
0.000105,0.00052,8e-05
0.00011,0.00052,8e-05
0.000115,0.00052,8e-05
9.5e-05,0.000525,8e-05
0.0001,0.000525,8e-05
0.000105,0.000525,8e-05
0.00011,0.000525,8e-05
9.5e-05,0.00053,8e-05
0.0001,0.00053,8e-05
0.000105,0.00053,8e-05
0.00011,0.00053,8e-05
0.0001,0.000535,8e-05
0.000105,0.000535,8e-05
9.5e-05,0.00058,8e-05
0.0001,0.00058,8e-05
0.000105,0.00058,8e-05
9.5e-05,0.000585,8e-05
0.0001,0.000585,8e-05
0.000105,0.000585,8e-05
9.5e-05,0.00059,8e-05
0.0001,0.00059,8e-05
0.000105,0.00059,8e-05
9.5e-05,0.000595,8e-05
0.0001,0.000595,8e-05
0.000105,0.000595,8e-05
9.5e-05,0.0006,8e-05
0.0001,0.0006,8e-05
0.000105,0.0006,8e-05
9.5e-05,4e-05,8.5e-05
0.0001,4e-05,8.5e-05
0.000105,4e-05,8.5e-05
9.5e-05,4.5e-05,8.5e-05
0.0001,4.5e-05,8.5e-05
0.000105,4.5e-05,8.5e-05
9.5e-05,5e-05,8.5e-05
0.0001,5e-05,8.5e-05
0.000105,5e-05,8.5e-05
0.00011,5e-05,8.5e-05
9.5e-05,5.5e-05,8.5e-05
0.0001,5.5e-05,8.5e-05
0.000105,5.5e-05,8.5e-05
0.00011,5.5e-05,8.5e-05
9.5e-05,6e-05,8.5e-05
0.0001,6e-05,8.5e-05
