id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
0,2.5e-05,9e-05,9e-05,0.00011,False,0,2e-05,4
1,2.5e-05,9.5e-05,8.5e-05,0.00012,False,0,3.5e-05,7
2,2.5e-05,0.0001,8.5e-05,0.00012,False,0,3.5e-05,7
3,2.5e-05,0.000105,8e-05,0.000125,False,0,4.5e-05,9
4,2.5e-05,0.00011,7.5e-05,0.000125,False,0,5e-05,10
5,2.5e-05,0.000115,7.5e-05,0.000125,False,0,5e-05,10
6,2.5e-05,0.00012,7e-05,0.00013,False,0,6e-05,12
7,2.5e-05,0.000125,6.5e-05,0.00013,False,0,6.5e-05,13
8,2.5e-05,0.00013,6.5e-05,0.000125,False,0,6e-05,12
9,2.5e-05,0.000135,6.5e-05,0.00013,False,0,6.5e-05,13
10,2.5e-05,0.00014,6.5e-05,0.00013,True,7,6.5e-05,6
11,2.5e-05,0.000145,0.00012,0.00013,False,0,1e-05,2
12,3e-05,9e-05,8.5e-05,0.000115,False,0,3e-05,6
13,3e-05,9.5e-05,8e-05,0.00012,False,0,4e-05,8
14,3e-05,0.0001,8e-05,0.00012,False,0,4e-05,8
15,3e-05,0.000105,7.5e-05,0.000125,False,0,5e-05,10
16,3e-05,0.00011,7.5e-05,0.000125,False,0,5e-05,10
17,3e-05,0.000115,7e-05,0.000125,False,0,5.5e-05,11
18,3e-05,0.00012,6.5e-05,0.00013,False,0,6.5e-05,13
19,3e-05,0.000125,6.5e-05,0.00013,False,0,6.5e-05,13
20,3e-05,0.00013,6.5e-05,0.00013,False,0,6.5e-05,13
21,3e-05,0.000135,6.5e-05,0.00013,False,0,6.5e-05,13
22,3e-05,0.00014,6.5e-05,0.00013,True,9,6.5e-05,4
23,3.5e-05,9e-05,8.5e-05,0.000115,False,0,3e-05,6
24,3.5e-05,9.5e-05,8e-05,0.00012,False,0,4e-05,8
25,3.5e-05,0.0001,8e-05,0.00012,False,0,4e-05,8
26,3.5e-05,0.000105,7.5e-05,0.000125,False,0,5e-05,10
27,3.5e-05,0.00011,7.5e-05,0.00013,False,0,5.5e-05,11
28,3.5e-05,0.000115,7e-05,0.00013,False,0,6e-05,12
29,3.5e-05,0.00012,6.5e-05,0.00013,False,0,6.5e-05,13
30,3.5e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
31,3.5e-05,0.00013,6.5e-05,0.000135,False,0,7e-05,14
32,3.5e-05,0.000135,6.5e-05,0.00013,False,0,6.5e-05,13
33,3.5e-05,0.00014,9e-05,0.00013,True,4,4e-05,4
34,4e-05,8.5e-05,9.5e-05,0.000105,False,0,1e-05,2
35,4e-05,9e-05,8.5e-05,0.000115,False,0,3e-05,6
36,4e-05,9.5e-05,8e-05,0.00012,False,0,4e-05,8
37,4e-05,0.0001,8e-05,0.000125,False,0,4.5e-05,9
38,4e-05,0.000105,7.5e-05,0.00013,False,0,5.5e-05,11
39,4e-05,0.00011,7e-05,0.00013,False,0,6e-05,12
40,4e-05,0.000115,7e-05,0.00013,False,0,6e-05,12
41,4e-05,0.00012,6e-05,0.00013,False,0,7e-05,14
42,4e-05,0.000125,6e-05,0.000135,False,0,7.5e-05,15
43,4e-05,0.00013,6e-05,0.000135,False,0,7.5e-05,15
44,4e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
45,4e-05,0.00014,8e-05,0.000135,True,4,5.5e-05,7
46,4.5e-05,8.5e-05,9.5e-05,0.000105,False,0,1e-05,2
47,4.5e-05,9e-05,8.5e-05,0.000115,False,0,3e-05,6
48,4.5e-05,9.5e-05,8e-05,0.00012,False,0,4e-05,8
49,4.5e-05,0.0001,8e-05,0.000125,False,0,4.5e-05,9
50,4.5e-05,0.000105,7.5e-05,0.00013,False,0,5.5e-05,11
51,4.5e-05,0.00011,7e-05,0.00013,False,0,6e-05,12
52,4.5e-05,0.000115,6.5e-05,0.000135,False,0,7e-05,14
53,4.5e-05,0.00012,6e-05,0.000135,False,0,7.5e-05,15
54,4.5e-05,0.000125,6e-05,0.000135,False,0,7.5e-05,15
55,4.5e-05,0.00013,6e-05,0.000135,False,0,7.5e-05,15
